model,test_pid,test_acc_clean,n_test
SVM,1,0.9988888888888889,10800
SVM,2,0.9991666666666666,14400
SVM,3,0.13407407407407407,10800
SVM,4,0.32546296296296295,10800
SVM,5,0.9985555555555555,9000
SVM,6,0.9985183355969873,8099
SVM,7,0.987977369165488,9898
SVM,8,0.8978787878787878,9900
SVM,9,0.9987878787878788,9900
SVM,10,0.6598611111111111,7200
SVM,11,0.5436744896542147,7201
RF,1,0.9988888888888889,10800
RF,2,0.9991666666666666,14400
RF,3,0.14777777777777779,10800
RF,4,0.36027777777777775,10800
RF,5,0.9985555555555555,9000
RF,6,0.9985183355969873,8099
RF,7,0.7749040210143463,9898
RF,8,0.8596969696969697,9900
RF,9,0.9987878787878788,9900
RF,10,0.715,7200
RF,11,0.8082210804054992,7201
XGBoost,1,0.9987962962962963,10800
XGBoost,2,0.9991666666666666,14400
XGBoost,3,0.25666666666666665,10800
XGBoost,4,0.415,10800
XGBoost,5,0.9985555555555555,9000
XGBoost,6,0.9988887516977405,8099
XGBoost,7,0.7361083047080218,9898
XGBoost,8,0.8379797979797979,9900
XGBoost,9,0.9987878787878788,9900
XGBoost,10,0.6376388888888889,7200
XGBoost,11,0.5475628384946535,7201
LightGBM,1,0.9988888888888889,10800
LightGBM,2,0.9991666666666666,14400
LightGBM,3,0.17657407407407408,10800
LightGBM,4,0.46194444444444444,10800
LightGBM,5,0.9985555555555555,9000
LightGBM,6,0.9985183355969873,8099
LightGBM,7,0.73146090119216,9898
LightGBM,8,0.7795959595959596,9900
LightGBM,9,0.9987878787878788,9900
LightGBM,10,0.8038888888888889,7200
LightGBM,11,0.623524510484655,7201
XGB+LGB_Ensemble,1,0.9988888888888889,10800
XGB+LGB_Ensemble,2,0.9991666666666666,14400
XGB+LGB_Ensemble,3,0.2,10800
XGB+LGB_Ensemble,4,0.43842592592592594,10800
XGB+LGB_Ensemble,5,0.9985555555555555,9000
XGB+LGB_Ensemble,6,0.9988887516977405,8099
XGB+LGB_Ensemble,7,0.7336835724388765,9898
XGB+LGB_Ensemble,8,0.8035353535353535,9900
XGB+LGB_Ensemble,9,0.9987878787878788,9900
XGB+LGB_Ensemble,10,0.685,7200
XGB+LGB_Ensemble,11,0.5733925843632829,7201
