model,test_pid,test_acc_clean,n_test
SVM,1,0.9987037037037036,10800
SVM,2,0.9990277777777777,14400
SVM,3,0.9119444444444444,10800
SVM,4,0.947962962962963,10800
SVM,5,0.9984444444444445,9000
SVM,6,0.9982713915298185,8099
SVM,7,0.809052333804809,9898
SVM,8,0.8141414141414142,9900
SVM,9,0.9986868686868687,9900
SVM,10,0.8919444444444444,7200
SVM,11,0.740869323705041,7201
RF,1,0.9987037037037036,10800
RF,2,0.9990277777777777,14400
RF,3,0.7535185185185185,10800
RF,4,0.8564814814814815,10800
RF,5,0.9984444444444445,9000
RF,6,0.9982713915298185,8099
RF,7,0.7282279248332997,9898
RF,8,0.8365656565656565,9900
RF,9,0.9986868686868687,9900
RF,10,0.7486111111111111,7200
RF,11,0.5999166782391334,7201
XGBoost,1,0.9987037037037036,10800
XGBoost,2,0.9990277777777777,14400
XGBoost,3,0.7688888888888888,10800
XGBoost,4,0.769074074074074,10800
XGBoost,5,0.9984444444444445,9000
XGBoost,6,0.9948141745894555,8099
XGBoost,7,0.7483329965649627,9898
XGBoost,8,0.8551515151515151,9900
XGBoost,9,0.9986868686868687,9900
XGBoost,10,0.7777777777777778,7200
XGBoost,11,0.5049298708512706,7201
LightGBM,1,0.9986111111111111,10800
LightGBM,2,0.9990277777777777,14400
LightGBM,3,0.750462962962963,10800
LightGBM,4,0.7067592592592593,10800
LightGBM,5,0.9984444444444445,9000
LightGBM,6,0.9982713915298185,8099
LightGBM,7,0.7830874924227117,9898
LightGBM,8,0.7926262626262627,9900
LightGBM,9,0.9986868686868687,9900
LightGBM,10,0.9113888888888889,7200
LightGBM,11,0.5963060686015831,7201
XGB+LGB_Ensemble,1,0.9987037037037036,10800
XGB+LGB_Ensemble,2,0.9990277777777777,14400
XGB+LGB_Ensemble,3,0.7500925925925926,10800
XGB+LGB_Ensemble,4,0.705,10800
XGB+LGB_Ensemble,5,0.9984444444444445,9000
XGB+LGB_Ensemble,6,0.9979009754290653,8099
XGB+LGB_Ensemble,7,0.7640937563144069,9898
XGB+LGB_Ensemble,8,0.8113131313131313,9900
XGB+LGB_Ensemble,9,0.9986868686868687,9900
XGB+LGB_Ensemble,10,0.8343055555555555,7200
XGB+LGB_Ensemble,11,0.5981113734203582,7201
