model,test_pid,test_acc_clean,n_test
SVM,1,0.9987037037037036,10800
SVM,2,0.9990277777777777,14400
SVM,3,0.6375,10800
SVM,4,0.5409259259259259,10800
SVM,5,0.9983333333333333,9000
SVM,6,0.998147919496234,8099
SVM,7,0.6987270155586988,9898
SVM,8,0.6937373737373738,9900
SVM,9,0.9985858585858586,9900
SVM,10,0.6273611111111111,7200
SVM,11,0.5815858908484932,7201
SVM,12,0.9968888888888889,4500
SVM,13,0.2323928015996445,4501
SVM,14,0.9948148148148148,2700
RF,1,0.9987037037037036,10800
RF,2,0.9990277777777777,14400
RF,3,0.5837962962962963,10800
RF,4,0.5259259259259259,10800
RF,5,0.9983333333333333,9000
RF,6,0.998147919496234,8099
RF,7,0.5895130329359467,9898
RF,8,0.6482828282828282,9900
RF,9,0.9985858585858586,9900
RF,10,0.6726388888888889,7200
RF,11,0.7546174142480211,7201
RF,12,0.9968888888888889,4500
RF,13,0.29815596534103533,4501
RF,14,0.9948148148148148,2700
XGBoost,1,0.9987037037037036,10800
XGBoost,2,0.9990277777777777,14400
XGBoost,3,0.5832407407407407,10800
XGBoost,4,0.5076851851851852,10800
XGBoost,5,0.9983333333333333,9000
XGBoost,6,0.9893814051117422,8099
XGBoost,7,0.5339462517680339,9898
XGBoost,8,0.6338383838383839,9900
XGBoost,9,0.9985858585858586,9900
XGBoost,10,0.4922222222222222,7200
XGBoost,11,0.5942230245799195,7201
XGBoost,12,0.9968888888888889,4500
XGBoost,13,0.1926238613641413,4501
XGBoost,14,0.9948148148148148,2700
LightGBM,1,0.9986111111111111,10800
LightGBM,2,0.9990277777777777,14400
LightGBM,3,0.580462962962963,10800
LightGBM,4,0.35574074074074075,10800
LightGBM,5,0.9983333333333333,9000
LightGBM,6,0.998147919496234,8099
LightGBM,7,0.5791068902808648,9898
LightGBM,8,0.547070707070707,9900
LightGBM,9,0.9985858585858586,9900
LightGBM,10,0.8002777777777778,7200
LightGBM,11,0.6800444382724622,7201
LightGBM,12,0.9968888888888889,4500
LightGBM,13,0.20217729393468117,4501
LightGBM,14,0.9948148148148148,2700
XGB+LGB_Ensemble,1,0.9987037037037036,10800
XGB+LGB_Ensemble,2,0.9990277777777777,14400
XGB+LGB_Ensemble,3,0.5827777777777777,10800
XGB+LGB_Ensemble,4,0.4576851851851852,10800
XGB+LGB_Ensemble,5,0.9983333333333333,9000
XGB+LGB_Ensemble,6,0.998147919496234,8099
XGB+LGB_Ensemble,7,0.557991513437058,9898
XGB+LGB_Ensemble,8,0.5965656565656565,9900
XGB+LGB_Ensemble,9,0.9985858585858586,9900
XGB+LGB_Ensemble,10,0.6386111111111111,7200
XGB+LGB_Ensemble,11,0.6100541591445633,7201
XGB+LGB_Ensemble,12,0.9968888888888889,4500
XGB+LGB_Ensemble,13,0.19795600977560543,4501
XGB+LGB_Ensemble,14,0.9948148148148148,2700
