iter	Passed	Remaining
0	2	693
1	4	567
2	6	507
3	8	487
4	10	479
5	12	468
6	13	456
7	15	444
8	17	439
9	18	434
10	20	429
11	22	425
12	24	423
13	26	427
14	28	428
15	30	425
16	32	425
17	34	423
18	36	422
19	38	420
20	40	421
21	42	418
22	43	414
23	45	410
24	47	405
25	48	401
26	50	396
27	52	395
28	53	391
29	55	387
30	56	383
31	58	380
32	60	377
33	61	374
34	63	373
35	65	370
36	67	368
37	68	365
38	70	363
39	72	361
40	74	360
41	76	358
42	78	358
43	79	356
44	81	352
45	82	349
46	85	349
47	86	347
48	88	344
49	89	341
50	91	338
51	93	338
52	95	336
53	96	334
54	98	332
55	100	329
56	102	328
57	103	326
58	105	324
59	107	321
60	109	320
61	110	318
62	112	316
63	114	314
64	116	312
65	117	310
66	119	309
67	121	307
68	124	307
69	126	306
70	127	303
71	129	301
72	131	299
73	132	297
74	133	294
75	135	292
76	137	290
77	138	288
78	140	286
79	142	284
80	144	282
81	145	280
82	147	278
83	149	278
84	151	275
85	152	273
86	155	272
87	156	270
88	158	268
89	159	266
90	161	264
91	163	262
92	164	260
93	166	259
94	168	257
95	170	256
96	173	255
97	174	253
98	176	251
99	177	249
100	179	247
101	181	245
102	183	243
103	184	241
104	186	240
105	188	238
106	190	236
107	192	235
108	194	233
109	196	231
110	197	230
111	199	228
112	201	226
113	203	224
114	205	223
115	206	221
116	208	219
117	210	217
118	212	215
119	214	214
120	215	212
121	217	210
122	219	208
123	221	206
124	222	205
125	224	203
126	226	201
127	228	199
128	230	197
129	231	196
130	233	194
131	235	192
132	237	191
133	239	189
134	241	187
135	242	185
136	244	183
137	246	182
138	248	180
139	249	178
140	251	176
141	253	174
142	255	173
143	257	171
144	259	169
145	261	168
146	263	166
147	265	164
148	266	162
149	268	161
150	270	159
151	272	157
152	274	156
153	276	154
154	278	152
155	280	150
156	282	149
157	284	147
158	286	145
159	288	144
160	290	142
161	292	140
162	294	139
163	296	137
164	298	135
165	300	134
166	302	132
167	304	130
168	306	128
169	309	127
170	311	125
171	313	124
172	315	122
173	317	120
174	319	118
175	321	116
176	323	115
177	325	113
178	327	111
179	329	109
180	331	108
181	333	106
182	335	104
183	337	102
184	339	100
185	341	99
186	343	97
187	345	95
188	347	93
189	349	92
190	351	90
191	353	88
192	355	86
193	357	84
194	359	82
195	360	81
196	362	79
197	363	77
198	365	75
199	367	73
200	370	71
201	373	70
202	375	68
203	377	66
204	379	64
205	381	62
206	383	61
207	385	59
208	386	57
209	388	55
210	390	53
211	391	51
212	393	49
213	394	47
214	396	46
215	398	44
216	401	42
217	403	40
218	404	38
219	406	36
220	408	35
221	409	33
222	412	31
223	414	29
224	416	27
225	418	25
226	419	24
227	421	22
228	423	20
229	425	18
230	427	16
231	429	14
232	431	12
233	433	11
234	435	9
235	437	7
236	439	5
237	441	3
238	443	1
239	445	0
