pineapple_id,stage,count,percentage
01,0,3602,33.4%
01,1,1799,16.7%
01,2,5399,50.0%
02,0,3600,25.0%
02,1,3600,25.0%
02,2,3600,25.0%
02,3,3600,25.0%
03,0,2700,25.0%
03,1,2700,25.0%
03,2,4496,41.6%
03,3,904,8.4%
04,0,5397,50.0%
04,1,3,0.0%
04,2,3601,33.3%
04,3,1799,16.7%
05,0,2250,25.0%
05,1,2250,25.0%
05,2,2250,25.0%
05,3,2250,25.0%
06,0,2024,25.0%
06,1,2025,25.0%
06,2,2025,25.0%
06,3,2025,25.0%
07,0,3603,36.4%
07,1,1795,18.1%
07,2,4500,45.5%
08,0,3602,36.4%
08,1,1797,18.2%
08,2,2701,27.3%
08,3,1800,18.2%
09,0,2475,25.0%
09,1,2475,25.0%
09,2,2475,25.0%
09,3,2475,25.0%
10,0,1800,25.0%
10,1,1800,25.0%
10,2,1800,25.0%
10,3,1800,25.0%
11,0,1800,25.0%
11,1,1800,25.0%
11,2,1800,25.0%
11,3,1801,25.0%
