epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.0291,1.69455,2.97294,1.99278,0.00333,1,0.11342,0.04625,1.38365,3.83883,1.77059,8e-05,8e-05,8e-05
2,92.8701,1.34846,2.7447,1.69734,0.00333,1,0.39802,0.15529,1.53778,3.70844,1.94754,0.000178218,0.000178218,0.000178218
3,136.375,1.38495,2.25536,1.67723,0.00317,0.95,0.56606,0.28027,1.25602,3.4735,1.76186,0.000274456,0.000274456,0.000274456
4,179.862,1.13987,1.96435,1.50748,0.00333,1,0.55754,0.31146,1.39005,3.52437,1.93882,0.000368714,0.000368714,0.000368714
5,223.094,1.15872,1.83974,1.54351,0.0059,0.85,0.46806,0.24995,1.47518,3.60052,2.06784,0.000460992,0.000460992,0.000460992
6,266.351,1.2177,1.81395,1.54395,0.65276,0.28331,0.48388,0.24111,1.48245,3.62753,1.86792,0.00055129,0.00055129,0.00055129
7,309.713,1.10706,1.76593,1.47203,1,0.19168,0.53235,0.25978,1.61814,3.62623,1.84603,0.000639608,0.000639608,0.000639608
8,354.463,1.22102,1.78141,1.52929,0.84492,0.2,0.38167,0.20191,1.62726,3.73343,1.92587,0.000725946,0.000725946,0.000725946
9,393.755,1.14042,1.64093,1.5237,0.6084,0.23451,0.31276,0.13606,1.87574,3.90818,2.44266,0.000810304,0.000810304,0.000810304
10,428.957,1.15133,1.61854,1.47984,0.24286,0.15,0.14952,0.04331,2.59117,4.68068,3.23576,0.000892682,0.000892682,0.000892682
11,464.025,1.18285,1.57369,1.50742,0.07543,0.4,0.05672,0.01231,2.60488,4.88049,3.33988,0.00097308,0.00097308,0.00097308
12,491.502,1.17883,1.66233,1.51785,0.17542,0.15,0.11252,0.05039,2.71286,4.03346,3.59489,0.0010515,0.0010515,0.0010515
13,518.797,1.22033,1.64017,1.54078,0.21411,0.25,0.15652,0.0717,2.51471,4.09171,3.19395,0.00112794,0.00112794,0.00112794
14,545.803,1.17098,1.58902,1.49914,0.36546,0.4,0.3694,0.17066,2.18112,4.54444,2.64843,0.00120239,0.00120239,0.00120239
15,573.039,1.16907,1.5537,1.4844,0.12894,0.4,0.13336,0.05401,2.2312,4.63598,3.14474,0.00127487,0.00127487,0.00127487
16,600.469,1.1989,1.58104,1.56438,0.1634,0.35,0.14042,0.033,2.45529,4.80442,3.55182,0.00134537,0.00134537,0.00134537
17,627.291,1.17193,1.43986,1.48378,0.14086,0.55,0.15334,0.03628,2.3608,5.89063,3.35406,0.00141389,0.00141389,0.00141389
18,654.14,1.21402,1.50025,1.48368,0.23807,0.25,0.17274,0.03336,2.41966,7.98797,3.38223,0.00148043,0.00148043,0.00148043
19,680.238,1.36106,1.59766,1.57829,0.14456,0.6,0.13877,0.04342,2.29925,6.96625,3.07154,0.00154498,0.00154498,0.00154498
20,705.906,1.3242,1.52178,1.57689,0.22899,0.1,0.0504,0.01136,3.07418,5.89487,3.67004,0.00160756,0.00160756,0.00160756
21,732.859,1.3954,1.6784,1.64795,0.16751,0.15,0.07313,0.02284,2.50328,5.09853,2.96299,0.001604,0.001604,0.001604
22,757.648,1.20128,1.47079,1.48989,0.0917,0.3,0.05969,0.02604,2.18484,4.95914,2.61291,0.0015842,0.0015842,0.0015842
23,783.82,1.22304,1.47393,1.53152,0.07292,0.3,0.08832,0.04332,2.29389,4.20495,2.82213,0.0015644,0.0015644,0.0015644
24,808.936,1.16597,1.42724,1.48485,0.23124,0.15,0.07623,0.02259,2.84727,3.61884,3.21321,0.0015446,0.0015446,0.0015446
